Tree file : INDELible V1.03 (best viewed cut and paste in e.g. excel)

N.B. Simulation blocks with no random trees will have their trees printed for the first replicate only.

FILE	TREE	NTAXA	REP	PART	LENGTH	DEPTH	MAX PAIRWISE DISTANCE	TREE STRING

dataset_001	T001	77	1	1	9.86024	1.19579	2.04546	(((((((((85_3_0:0.08088566,(((((69_3_0:0.00244763,(78_3_0:0.02221422,78_4_0:0.00110852):0.00000612):0.00173724,41_3_0:0.01476251):0.00135523,73_3_0:0.06156751):0.00088342,39_3_0:0.03574038):0.00776187,(48_3_0:0.11387655,(48_5_0:0.00236556,48_6_0:0.01473295):0.00227689):0.00726032):0.02773679):0.00179150,85_2_0:0.09388957):0.00268369,(15_2_0:0.00991016,95_2_0:0.20517193):0.05470017):0.05005593,(15_1_0:0.17664042,((((41_1_0:0.04528447,(78_1_0:0.00988242,69_1_0:0.00197838):0.00174818):0.00160679,73_1_0:0.04759514):0.00006035,39_1_0:0.07261332):0.00376620,48_1_0:0.09340125):0.25226466):0.04089804):0.07363547,(33_1_0:0.13001908,32_1_0:0.00979433):0.47829142):0.26219753,(8_0_0:0.09425711,84_0_0:0.01764977):0.09085009):0.01983625,(((52_0_0:0.23843207,52_9_0:0.32410240):0.00297686,((42_0_0:0.00451685,(50_0_0:0.00068533,24_0_0:0.00135638):0.00825404):0.02131678,18_0_0:0.00163933):0.16699257):0.19950998,(((((75_0_0:0.00257023,91_0_0:0.00230175):0.03060415,((((51_0_0:0.00027586,2_0_0:0.01077591):0.00027116,35_0_0:0.02267751):0.00001145,76_0_0:0.00279747):0.00149144,16_0_0:0.00001876):0.27468217):0.00663330,(70_0_0:0.09217622,(74_0_0:0.00231667,74_13_0:0.00085481):0.01890875):0.04898548):0.02000551,(31_0_0:0.03415654,(36_0_0:0.00870219,19_0_0:0.00039810):0.16361461):0.14942584):0.02571079,((47_0_0:0.16365198,((12_0_0:0.00050999,71_0_0:0.01042760):0.00101443,45_0_0:0.14991213):0.02451805):0.03324092,((83_0_0:0.01060736,55_0_0:0.00008605):0.03457640,9_0_0:0.04960899):0.00303697):0.00369691):0.00611990):0.00287657):0.11078095,((((82_0_0:0.21996590,(22_0_0:0.10181971,61_0_0:0.01916613):0.02183877):0.09695649,(56_0_0:0.02866973,43_0_0:0.51228791):0.10177594):0.00115981,(89_0_0:0.20304665,(((34_0_0:0.00004174,34_16_0:0.00003487):0.00024571,44_0_0:0.00303150):0.01471520,(30_0_0:0.02953917,11_0_0:0.00800621):0.03314898):0.04794702):0.18652121):0.00000062,((6_0_0:0.06790532,66_0_0:0.01564736):0.31311854,((64_0_0:0.00444424,64_18_0:0.00080960):0.03149981,((64_17_0:0.00705212,64_19_0:0.13046852):0.16833537,(90_17_0:0.02449000,20_17_0:0.00497198):0.25158313):0.01506192):0.02929163):0.00085698):0.17917995):0.19466750,(((97_21_0:0.02197342,96_21_0:0.00516706):0.01832584,(98_21_0:0.01087745,100_21_0:0.00876697):0.43189234):0.01615914,((99_20_0:0.05280227,(100_20_0:0.01684297,98_20_0:0.00315630):0.02236666):0.09692768,97_20_0:0.26311286):0.57585407):0.01070214);

dataset_002	T002	150	1	1	19.0671	1.3498	2.40012	(((((100_31_0:0.00924283,98_31_0:0.02083402):0.02635513,99_31_0:0.27041679):0.01688794,97_31_0:0.06756792):0.68007105,((99_0_0:0.13412815,(98_0_0:0.04555384,100_0_0:0.02884209):0.02484602):0.05176529,((97_0_0:0.00178735,97_32_0:0.00087741):0.04497216,96_0_0:0.00926705):0.14346444):0.98063716):0.17894309,(((((80_0_0:0.07883306,((81_0_0:0.06536221,21_0_0:0.07280658):0.00114190,58_0_0:0.09489242):0.02234587):0.31887549,((66_0_0:0.02612882,6_0_0:0.03360418):0.09801941,6_30_0:0.21839161):0.02808005):0.13787250,(((((29_0_0:0.02407865,(72_0_0:0.04015513,63_0_0:0.02237604):0.02560506):0.02268642,(89_0_0:0.06953977,((30_0_0:0.01890772,11_0_0:0.01817528):0.01565222,((44_24_0:0.00526821,34_24_0:0.00138509):0.02673746,(44_0_0:0.00391769,34_0_0:0.00459237):0.05974154):0.07218970):0.01205841):0.25809291):0.02010626,62_0_0:0.32884905):0.14719648,((((25_21_0:0.02251728,25_20_0:0.01977101):0.03038120,(93_20_0:0.06574285,1_20_0:0.03414829):0.01363429):0.01878190,77_20_0:0.02120479):0.10855283,(62_20_0:0.16822518,(((89_20_0:0.06304494,((30_20_0:0.02666655,11_20_0:0.01304482):0.03197962,(44_20_0:0.00268842,34_20_0:0.00297437):0.05229649):0.02164235):0.18562195,89_23_0:0.20399455):0.02212946,(29_20_0:0.09480552,(63_20_0:0.03106951,(72_20_0:0.00524440,72_25_0:0.02786417):0.00444381):0.01471207):0.10163819):0.03457423):0.02213308):0.10303234):0.10547238,((17_0_0:0.03556553,17_17_0:0.02936084):0.25341697,(((22_19_0:0.02366325,28_19_0:0.01332077):0.11978845,((28_0_0:0.02388287,22_0_0:0.00771015):0.04422503,61_0_0:0.09008119):0.02960354):0.05442713,79_0_0:0.15230668):0.02523078):0.44517321):0.00074847):0.10396558,(((((((49_16_0:0.00092228,59_16_0:0.00192599):0.01638554,((46_16_0:0.00314645,14_16_0:0.00938006):0.00843311,53_16_0:0.02066447):0.00064275):0.05870630,56_16_0:0.04873268):0.01072423,43_16_0:0.10285648):0.48219282,((79_16_0:0.09817728,(82_16_0:0.07865141,(61_16_0:0.03901731,(22_16_0:0.02919600,28_16_0:0.00942633):0.02961853):0.04856615):0.02612614):0.03690398,(17_18_0:0.04525469,17_16_0:0.03074137):0.23611517):0.30610553):0.00826224,62_22_0:0.44990865):0.00189110,(((((37_16_0:0.02714037,10_16_0:0.03214180):0.00575187,(27_16_0:0.01017312,92_16_0:0.01341386):0.04520476):0.00993680,40_16_0:0.08208702):0.32957481,((80_16_0:0.07647248,80_26_0:0.01522441):0.00308881,((81_16_0:0.02994572,21_16_0:0.02419490):0.00278004,58_16_0:0.11320959):0.01556609):0.09038063):0.02899398,(((6_16_0:0.12331764,66_16_0:0.03249843):0.05916895,((20_16_0:0.01432901,90_16_0:0.00247613):0.07697347,64_16_0:0.16389035):0.09487285):0.00204940,(((((20_28_0:0.00652810,90_28_0:0.00904231):0.02070338,(90_29_0:0.00777179,20_29_0:0.01289067):0.01713474):0.06401644,(90_27_0:0.01158285,20_27_0:0.01302010):0.05694115):0.05485122,64_27_0:0.14847875):0.23681729,(6_27_0:0.07046115,66_27_0:0.04004786):0.14842324):0.00286505):0.05643337):0.14747408):0.07343832):0.02715575,(((((((83_8_0:0.00928753,55_8_0:0.00641291):0.00766410,9_8_0:0.00911352):0.04968247,(47_8_0:0.04389998,(12_8_0:0.01520203,71_8_0:0.02980812):0.02790600):0.05247323):0.01859573,(((((91_8_0:0.00672194,(75_8_0:0.00140653,75_11_0:0.00120748):0.00526370):0.06765501,(16_8_0:0.01427005,(76_8_0:0.01193048,(35_8_0:0.00613636,(51_8_0:0.00266187,2_8_0:0.00230145):0.00417684):0.00055769):0.03635167):0.04366928):0.00720543,(70_8_0:0.08104317,74_8_0:0.01107802):0.08178966):0.03045697,(31_8_0:0.07856343,(36_8_0:0.00766649,19_8_0:0.01041382):0.11777180):0.05441672):0.00669665,(((31_9_0:0.10261411,(31_14_0:0.01077916,31_13_0:0.01180768):0.05080713):0.01887738,(36_9_0:0.00625874,19_9_0:0.01836537):0.02023109):0.00776381,((19_12_0:0.00217725,36_12_0:0.00456073):0.09156941,31_12_0:0.07141856):0.01168948):0.10910216):0.00494437):0.16846242,((74_6_0:0.06007581,(70_6_0:0.03307748,70_10_0:0.04511480):0.05982522):0.04789444,(((45_6_0:0.00566516,45_15_0:0.00573342):0.03108571,(71_6_0:0.04918093,12_6_0:0.04901206):0.00579296):0.05687472,47_6_0:0.07020541):0.05421309):0.17098802):0.08925064,((((50_0_0:0.00027649,24_0_0:0.00307377):0.02130696,42_0_0:0.00837404):0.12455505,18_0_0:0.10675432):0.37519894,52_0_0:0.06681516):0.13713315):0.03258016,((57_1_0:0.01739688,(33_1_0:0.13210542,32_1_0:0.00702630):0.01934498):0.26007437,((48_2_0:0.19253031,(((41_4_0:0.01365068,(69_4_0:0.02681750,78_4_0:0.00476034):0.00315633):0.00878208,((78_2_0:0.01013192,69_2_0:0.01593783):0.00235377,41_2_0:0.01595833):0.00950592):0.05104331,39_2_0:0.07323679):0.01027869):0.25635567,((85_3_0:0.12925117,85_0_0:0.17835466):0.02421041,(((73_0_0:0.02840768,((69_0_0:0.01527851,78_0_0:0.00828476):0.00102278,41_0_0:0.07595110):0.01983744):0.01890170,39_0_0:0.05103938):0.02664143,48_0_0:0.07708339):0.06339551):0.04755925):0.12311467):0.08788266):0.14697562):0.18429487);

dataset_003	T003	165	1	1	13.7076	1.07328	1.65384	((((56_45_0:0.02040009,((49_48_0:0.00166440,59_48_0:0.00611081):0.00280562,(53_48_0:0.00099129,(14_48_0:0.00410067,46_48_0:0.00449000):0.01007704):0.00050768):0.09073086):0.01147627,43_45_0:0.04678847):0.35270856,((((44_0_0:0.00899742,34_0_0:0.00401411):0.05756028,((11_49_0:0.00872342,30_49_0:0.00808455):0.00718418,(30_0_0:0.03462539,11_0_0:0.00427154):0.01618162):0.00510241):0.00947474,89_0_0:0.09561449):0.07885779,((72_0_0:0.03386678,63_0_0:0.00827843):0.00263846,29_0_0:0.01488859):0.14386623):0.04423341):0.02353479,((((52_39_0:0.00366229,((42_39_0:0.01076371,(24_39_0:0.00043221,50_39_0:0.00317271):0.00060154):0.08351506,(18_40_0:0.19272752,18_39_0:0.01621172):0.00137358):0.47701295):0.34116544,((((31_1_0:0.05513027,(19_1_0:0.00092455,(36_44_0:0.01116434,36_1_0:0.00331157):0.00137516):0.05157192):0.02601516,(((16_1_0:0.01037708,(((51_1_0:0.00186677,2_1_0:0.00040738):0.00032162,35_1_0:0.01919005):0.00034004,76_1_0:0.01031340):0.01740627):0.03844688,(16_43_0:0.00197228,(((2_43_0:0.00042921,51_43_0:0.00155598):0.00364640,35_43_0:0.00009609):0.00010009,76_43_0:0.00113190):0.00495428):0.01088849):0.08999964,(75_1_0:0.00185160,91_1_0:0.00655680):0.02561274):0.00047902):0.00039959,(((16_42_0:0.00611834,((35_42_0:0.00507621,(2_42_0:0.00214822,51_42_0:0.00152815):0.00271787):0.00038722,76_42_0:0.00495385):0.04586818):0.05353887,(75_42_0:0.00796668,91_42_0:0.00524580):0.03227338):0.00519876,70_42_0:0.06017539):0.01639383):0.00640588,((9_1_0:0.00386893,(55_1_0:0.00502095,83_1_0:0.02365899):0.00728575):0.05294476,(47_1_0:0.00846889,(12_1_0:0.04353215,71_1_0:0.02399804):0.00677226):0.00321156):0.01506645):0.07039708):0.00896732,((((60_30_0:0.12223770,(60_1_0:0.01474621,60_31_0:0.01657585):0.25344520):0.00244580,(((((13_1_0:0.02239798,86_1_0:0.00075508):0.00971305,23_1_0:0.05787950):0.00432205,(23_34_0:0.04587110,(86_34_0:0.00237889,13_34_0:0.00022836):0.01738969):0.00148166):0.05220273,54_1_0:0.00392365):0.05183431,(94_36_0:0.00146166,67_36_0:0.00213622):0.01565356):0.09978518):0.16454737,((8_1_0:0.01563632,84_1_0:0.10506232):0.02798894,8_24_0:0.09155149):0.19934841):0.02269740,(((65_8_0:0.18719578,(38_11_0:0.00043326,38_1_0:0.00226461):0.16251812):0.01460981,(((32_17_0:0.04681179,(33_17_0:0.00100651,33_20_0:0.00148201):0.11669010):0.02381685,(57_19_0:0.00006091,57_17_0:0.00015154):0.03492492):0.29895845,((32_16_0:0.08503839,33_16_0:0.09584064):0.00372173,57_16_0:0.00167181):0.01676205):0.02960649):0.01408618,((15_1_0:0.32573567,(95_1_0:0.03459218,(95_7_0:0.03685739,95_6_0:0.02940649):0.09043829):0.10717010):0.03244775,(((48_1_0:0.08240507,((((69_1_0:0.00914677,78_1_0:0.00527901):0.00115932,41_1_0:0.01189998):0.00594036,73_1_0:0.02023222):0.01979792,39_1_0:0.09993849):0.00241612):0.00933514,85_1_0:0.13534697):0.01824930,(48_2_0:0.28957186,(((73_4_0:0.04548039,(41_4_0:0.01487330,69_4_0:0.01850722):0.00497406):0.00157579,(73_2_0:0.01309004,(((69_5_0:0.00315834,69_2_0:0.00196593):0.00567051,78_2_0:0.00143216):0.00082348,41_2_0:0.02940796):0.00037992):0.00122260):0.00340815,39_2_0:0.00532926):0.00403168):0.02357074):0.00651346):0.23129389):0.00304008):0.00053159):0.01180001,((52_41_0:0.07138795,52_38_0:0.10533170):0.10001219,((((32_12_0:0.06710541,33_12_0:0.05530294):0.06982033,(((57_14_0:0.01065176,(32_14_0:0.02045170,33_14_0:0.03869094):0.01898960):0.06216450,(32_13_0:0.02261608,33_13_0:0.01452003):0.10571690):0.00092550,(((32_0_0:0.01100108,33_0_0:0.04479924):0.01566212,(57_0_0:0.01922595,57_18_0:0.01307262):0.00914724):0.08314781,(57_15_0:0.01201368,(33_15_0:0.12740079,32_15_0:0.04689497):0.03485949):0.03254872):0.07027597):0.00026391):0.19503586,((85_0_0:0.19291031,(48_0_0:0.04057483,((41_0_0:0.00547840,(78_0_0:0.00230849,69_0_0:0.00925582):0.00117951):0.01454474,73_0_0:0.01259240):0.01519897):0.01079326):0.04492065,15_0_0:0.13439625):0.11284095):0.03236564,(((((((26_32_0:0.00879663,68_32_0:0.00331322):0.00168426,(68_26_0:0.01864904,26_26_0:0.04428765):0.01939192):0.07084520,((94_26_0:0.00633446,67_26_0:0.00921245):0.03796861,((86_26_0:0.00293687,13_26_0:0.00129660):0.00240266,23_26_0:0.02296966):0.16703202):0.08894280):0.01758918,60_26_0:0.26423858):0.00377327,(87_26_0:0.02072772,(4_26_0:0.00806064,88_26_0:0.00698856):0.02388906):0.26480998):0.02044734,(((26_21_0:0.05680851,(68_21_0:0.00423355,68_33_0:0.00661547):0.00154783):0.05076241,(((13_21_0:0.00548552,86_21_0:0.00165740):0.13732777,54_21_0:0.03214625):0.11165121,67_21_0:0.13529434):0.00196876):0.04335843,60_21_0:0.15785872):0.12050690):0.11824924,((((8_23_0:0.04974775,84_23_0:0.01032848):0.07960324,8_22_0:0.19398813):0.03261369,((8_25_0:0.02573433,8_0_0:0.02313502):0.04015013,84_0_0:0.03156228):0.02686221):0.13409118,((((((86_0_0:0.00406258,13_0_0:0.00735355):0.05511701,23_0_0:0.05000472):0.01565664,(54_0_0:0.01111249,54_35_0:0.05323241):0.03160440):0.05761267,(94_0_0:0.04271123,67_0_0:0.00270147):0.01324399):0.01128550,60_0_0:0.45936577):0.00896647,((((88_28_0:0.00130573,4_28_0:0.00366743):0.00320643,(4_0_0:0.00947978,88_0_0:0.04848631):0.00362731):0.00603945,(88_27_0:0.02870588,4_27_0:0.01188386):0.03364540):0.00203163,87_0_0:0.01622570):0.12897046):0.00125966):0.00093422):0.06010489):0.00267004):0.01947050):0.04023032);

dataset_004	T004	4	1	1	0.325551	0.170752	0.288491	((97_0_0:0.02102015,96_0_0:0.00285779):0.09671841,(98_0_0:0.03420257,99_0_0:0.14442981):0.02632252);

dataset_005	T005	11	1	1	1.07813	0.286757	0.511559	(((97_1_0:0.03632712,96_1_0:0.00690430):0.02081165,(100_1_0:0.01086010,98_1_0:0.03413568):0.06888069):0.12178528,(((96_0_0:0.00873844,97_0_0:0.01116750):0.17045995,(96_2_0:0.01575933,97_2_0:0.01187289):0.23776641):0.02299002,(99_0_0:0.18183012,(100_0_0:0.00900877,98_0_0:0.04630870):0.03072616):0.02155920):0.01024113);
