Tree file : INDELible V1.03 (best viewed cut and paste in e.g. excel)

N.B. Simulation blocks with no random trees will have their trees printed for the first replicate only.

FILE	TREE	NTAXA	REP	PART	LENGTH	DEPTH	MAX PAIRWISE DISTANCE	TREE STRING

dataset_001	T001	20	1	1	3.06503	0.865767	1.33211	((1_0_0:0.00274928,(2_0_0:0.00636715,3_0_0:0.00280078):0.00128160):0.45869563,((((((8_0_0:0.00380240,18_0_0:0.01162380):0.12890475,19_0_0:0.07734619):0.03112955,((13_0_0:0.00007810,9_0_0:0.00007824):0.00989624,7_0_0:0.00636569):0.10291348):0.47967436,((5_0_0:0.01420600,(10_0_0:0.00347120,(12_0_0:0.00144290,4_0_0:0.00178986):0.00221862):0.00390427):0.05359871,(11_0_0:0.02069996,17_0_0:0.00568671):0.06452994):0.23338423):0.08855150,(16_0_0:0.24572324,((14_0_0:0.07233494,6_0_0:0.03224490):0.04258109,15_0_0:0.08742025):0.06830818):0.25262332):0.09408550,20_0_0:0.32072173):0.03179769);

dataset_002	T002	20	1	1	3.97145	1.1754	1.82928	((1_0_0:0.00232256,(2_0_0:0.01635257,3_0_0:0.00306309):0.00427549):0.63324961,(20_0_0:0.47191396,(((((9_0_0:0.00002784,13_0_0:0.00003627):0.01116349,7_0_0:0.00971750):0.23841979,(19_0_0:0.14093538,(18_0_0:0.01006254,8_0_0:0.01411401):0.10382099):0.01560256):0.30479859,((17_0_0:0.01617816,11_0_0:0.00680981):0.02433606,(5_0_0:0.02488064,((12_0_0:0.00353137,4_0_0:0.00235319):0.00437934,10_0_0:0.00201939):0.00535142):0.09393019):0.04409197):0.13490054,(((6_0_0:0.06180391,14_0_0:0.11393065):0.04766214,15_0_0:0.14138105):0.08863111,16_0_0:0.40770372):0.58490756):0.15800655):0.02478545);

dataset_003	T003	20	1	1	3.71338	1.00487	1.74634	((1_0_0:0.00516024,(3_0_0:0.01084367,2_0_0:0.00381811):0.00195686):0.42745252,(20_0_0:0.37272820,((16_0_0:0.13480173,((14_0_0:0.02683646,6_0_0:0.22484167):0.04526338,15_0_0:0.07825911):0.05883357):0.55739159,(((17_0_0:0.01282649,11_0_0:0.02358446):0.06211811,(5_0_0:0.01942623,((12_0_0:0.00043618,4_0_0:0.00107084):0.00233734,10_0_0:0.00232059):0.00296285):0.19169431):0.22200310,((19_0_0:0.14979242,(18_0_0:0.01196620,8_0_0:0.01180230):0.06256977):0.03100270,((13_0_0:0.00010846,9_0_0:0.00004225):0.00535565,7_0_0:0.01140748):0.14261960):0.58733172):0.09187911):0.06656139):0.05197492);

dataset_004	T004	20	1	1	3.81253	1.30235	1.8889	(((3_0_0:0.00557786,2_0_0:0.00353553):0.00252581,1_0_0:0.00394695):0.52928341,(((16_0_0:0.51411147,((6_0_0:0.07537188,14_0_0:0.06630034):0.02814850,15_0_0:0.04504084):0.04811871):0.26595079,(((((4_0_0:0.00263434,12_0_0:0.00167915):0.00195317,10_0_0:0.00400116):0.00673292,5_0_0:0.00913674):0.04900251,(17_0_0:0.01246444,11_0_0:0.01208644):0.06928884):0.16616448,(((8_0_0:0.00868722,18_0_0:0.01277857):0.09981619,19_0_0:0.05129590):0.04729585,(7_0_0:0.01144569,(13_0_0:0.00007060,9_0_0:0.00007775):0.01344322):0.17712116):0.81200483):0.10619137):0.17270521,20_0_0:0.35572812):0.02081130);

dataset_005	T005	20	1	1	3.12379	0.967659	1.62685	(((((((9_0_0:0.00011904,13_0_0:0.00002952):0.00255203,7_0_0:0.00519040):0.02129083,((18_0_0:0.01569396,8_0_0:0.00806019):0.07876666,19_0_0:0.01317482):0.02927824):0.32911752,((11_0_0:0.00239132,17_0_0:0.00472295):0.07986443,(5_0_0:0.00534304,(10_0_0:0.00181794,(12_0_0:0.00135684,4_0_0:0.00113132):0.00204984):0.00415611):0.03339606):0.13552608):0.03990885,(((6_0_0:0.08866456,14_0_0:0.04458755):0.03038861,15_0_0:0.04643909):0.04530601,16_0_0:0.46136427):0.38203285):0.11072881,20_0_0:0.41967308):0.01353289,(1_0_0:0.00333471,(2_0_0:0.00359986,3_0_0:0.00452908):0.00310324):0.65156276);

dataset_006	T006	20	1	1	2.8474	0.852799	1.26153	(((2_0_0:0.00431231,3_0_0:0.00390182):0.00305496,1_0_0:0.00353642):0.23540532,((((((8_0_0:0.01063488,18_0_0:0.00812047):0.13614423,19_0_0:0.13116213):0.02817280,((9_0_0:0.00010319,13_0_0:0.00008614):0.00639027,7_0_0:0.02103649):0.12748227):0.49342344,((17_0_0:0.01287599,11_0_0:0.02954427):0.07848396,((10_0_0:0.00325454,(4_0_0:0.00196180,12_0_0:0.00117428):0.00309589):0.00388787,5_0_0:0.02374494):0.08793124):0.07042211):0.02700466,(16_0_0:0.28018329,(15_0_0:0.04497562,(6_0_0:0.05391034,14_0_0:0.05226150):0.05740121):0.04598686):0.16422233):0.13145946,20_0_0:0.43469259):0.02595980);

dataset_007	T007	20	1	1	3.60065	1.01728	1.85683	((((((11_0_0:0.01286676,17_0_0:0.00811205):0.06618596,((10_0_0:0.00180866,(4_0_0:0.00158251,12_0_0:0.00295907):0.00486402):0.00225839,5_0_0:0.01998849):0.04994033):0.20251464,((19_0_0:0.04893235,(18_0_0:0.00678608,8_0_0:0.01055428):0.08628512):0.02530262,(7_0_0:0.00755439,(13_0_0:0.00003819,9_0_0:0.00008770):0.01330481):0.15472137):0.35113651):0.09016208,(((6_0_0:0.11140537,14_0_0:0.07882155):0.02566973,15_0_0:0.08789114):0.03377451,16_0_0:0.35841550):0.34139082):0.08742197,20_0_0:0.23187850):0.05232257,((3_0_0:0.00301468,2_0_0:0.00686775):0.00079253,1_0_0:0.00341970):1.00961798);

dataset_008	T008	20	1	1	2.1184	0.59949	0.985935	((20_0_0:0.39809768,(((((13_0_0:0.00003123,9_0_0:0.00003296):0.00651180,7_0_0:0.00879671):0.11893419,((8_0_0:0.00400233,18_0_0:0.00414333):0.07681652,19_0_0:0.09803550):0.01880783):0.40770939,((((4_0_0:0.00124317,12_0_0:0.00197559):0.00191182,10_0_0:0.00318175):0.00353564,5_0_0:0.00634338):0.01612715,(17_0_0:0.00802196,11_0_0:0.01808671):0.02463571):0.06768856):0.02273028,(16_0_0:0.15632773,(15_0_0:0.09758356,(14_0_0:0.06539007,6_0_0:0.06443669):0.00675101):0.02800826):0.08215711):0.02966715):0.01165245,(1_0_0:0.00196814,(2_0_0:0.00355255,3_0_0:0.00139251):0.00121638):0.25089825);

dataset_009	T009	20	1	1	1.71133	0.366733	0.71406	((1_0_0:0.00165393,(2_0_0:0.00143995,3_0_0:0.00227473):0.00198473):0.34306792,(20_0_0:0.22147819,((16_0_0:0.11391279,(15_0_0:0.11386515,(14_0_0:0.02611787,6_0_0:0.04025272):0.01222791):0.03569705):0.08602299,(((5_0_0:0.01312487,((12_0_0:0.00052973,4_0_0:0.00219419):0.00118705,10_0_0:0.00080551):0.00288190):0.03018572,(11_0_0:0.00535364,17_0_0:0.00700560):0.04122052):0.14466547,((7_0_0:0.00465586,(9_0_0:0.00003948,13_0_0:0.00005370):0.00237787):0.10562215,((8_0_0:0.00333962,18_0_0:0.00435024):0.02825458,19_0_0:0.05198825):0.00504674):0.17351759):0.02658773):0.03904879):0.01730094);

dataset_010	T010	20	1	1	2.35261	0.544891	0.970414	((1_0_0:0.00045810,(2_0_0:0.00331279,3_0_0:0.00054578):0.00151577):0.42069440,(20_0_0:0.24283791,((16_0_0:0.16681131,((6_0_0:0.12081146,14_0_0:0.07490430):0.01060550,15_0_0:0.18148502):0.02730569):0.21882984,(((5_0_0:0.00874782,(10_0_0:0.00257253,(12_0_0:0.00208751,4_0_0:0.00255828):0.00087184):0.00414327):0.06345672,(11_0_0:0.00453342,17_0_0:0.00503934):0.02153695):0.10111628,((7_0_0:0.01090163,(13_0_0:0.00002367,9_0_0:0.00004313):0.00296447):0.07499061,(19_0_0:0.02957536,(18_0_0:0.00611077,8_0_0:0.00243605):0.10974571):0.02068710):0.26553412):0.03813014):0.06340739):0.04127536);

dataset_011	T011	20	1	1	1.35017	0.416952	0.611234	((1_0_0:0.00248823,(2_0_0:0.00219370,3_0_0:0.00074838):0.00036327):0.17985272,(20_0_0:0.12794790,((16_0_0:0.28277036,((14_0_0:0.02174233,6_0_0:0.00952405):0.00674827,15_0_0:0.00641376):0.01282361):0.09267808,((((9_0_0:0.00011952,13_0_0:0.00004910):0.01590309,7_0_0:0.01145809):0.10097106,(19_0_0:0.03287002,(18_0_0:0.00329691,8_0_0:0.00966261):0.03494617):0.04402006):0.09194270,((17_0_0:0.00924474,11_0_0:0.00073852):0.02623917,(((12_0_0:0.00355391,4_0_0:0.00192276):0.00422038,10_0_0:0.00111912):0.00525384,5_0_0:0.03186502):0.05733411):0.04879258):0.02684927):0.03352669):0.00797724);

dataset_012	T012	20	1	1	2.40603	0.647314	0.989001	((1_0_0:0.00290283,(2_0_0:0.00328385,3_0_0:0.00450040):0.00162594):0.33556057,(20_0_0:0.18582002,((16_0_0:0.18934766,(15_0_0:0.08521780,(6_0_0:0.05721080,14_0_0:0.04002712):0.03203102):0.04542192):0.18382213,((((8_0_0:0.01161061,18_0_0:0.00934340):0.07650091,19_0_0:0.08933579):0.03118338,(7_0_0:0.01217370,(9_0_0:0.00006984,13_0_0:0.00004549):0.01317949):0.16722885):0.30137494,((((4_0_0:0.00180953,12_0_0:0.00227038):0.00274156,10_0_0:0.00312153):0.00422579,5_0_0:0.01821523):0.05003274,(17_0_0:0.00957949,11_0_0:0.01649051):0.07353613):0.17972322):0.06462592):0.07047213):0.03036263);

dataset_013	T013	20	1	1	1.86361	0.625849	0.978514	((1_0_0:0.00093925,(2_0_0:0.00322683,3_0_0:0.00140771):0.00033433):0.29770176,(((16_0_0:0.19496073,((14_0_0:0.04885356,6_0_0:0.01616706):0.01759481,15_0_0:0.03613362):0.02615516):0.10403347,(((11_0_0:0.00817566,17_0_0:0.00377226):0.07255911,(((4_0_0:0.00116249,12_0_0:0.00212737):0.00040516,10_0_0:0.00064660):0.00315309,5_0_0:0.00797263):0.01865736):0.06812236,(((8_0_0:0.00468217,18_0_0:0.01070455):0.01708456,19_0_0:0.06029630):0.02853724,(7_0_0:0.00150791,(9_0_0:0.00001396,13_0_0:0.00001810):0.00255255):0.01335248):0.08341167):0.01234563):0.06898656,20_0_0:0.61053332):0.01531605);

dataset_014	T014	20	1	1	3.33387	0.741764	1.43326	((1_0_0:0.00117662,(3_0_0:0.00486411,2_0_0:0.00541194):0.00104468):0.68503954,(((((6_0_0:0.05670728,14_0_0:0.10417073):0.01977244,15_0_0:0.11028650):0.03839046,16_0_0:0.40621451):0.25715622,((((8_0_0:0.00450735,18_0_0:0.00344188):0.04924033,19_0_0:0.03174524):0.00785082,((9_0_0:0.00003874,13_0_0:0.00003791):0.01061926,7_0_0:0.01085998):0.25698537):0.13829758,((5_0_0:0.01755759,((12_0_0:0.00151716,4_0_0:0.00146560):0.00231747,10_0_0:0.00554350):0.00360421):0.14677463,(11_0_0:0.00953254,17_0_0:0.01126380):0.08601420):0.28304771):0.10561934):0.06584058,20_0_0:0.37735945):0.01255271);

dataset_015	T015	20	1	1	2.38487	0.604521	0.943878	(((2_0_0:0.00327920,3_0_0:0.00273963):0.00236579,1_0_0:0.00204854):0.33371177,(20_0_0:0.33205623,((((17_0_0:0.01279016,11_0_0:0.01560881):0.06014513,(5_0_0:0.01135423,((4_0_0:0.00129370,12_0_0:0.00142385):0.00484973,10_0_0:0.00252830):0.00233380):0.04993151):0.15172897,(((8_0_0:0.00504972,18_0_0:0.01147551):0.05684250,19_0_0:0.07626582):0.03584373,((9_0_0:0.00003127,13_0_0:0.00006827):0.00862415,7_0_0:0.00524541):0.13559179):0.33237876):0.04043410,(((14_0_0:0.05062322,6_0_0:0.05370063):0.01733453,15_0_0:0.05740081):0.04842757,16_0_0:0.19640157):0.17551776):0.06464248):0.02278173);

