Tree file : INDELible V1.03 (best viewed cut and paste in e.g. excel)

N.B. Simulation blocks with no random trees will have their trees printed for the first replicate only.

FILE	TREE	NTAXA	REP	PART	LENGTH	DEPTH	MAX PAIRWISE DISTANCE	TREE STRING

dataset_001	T001	20	1	1	3.33112	0.820606	1.54392	((((3_0_0:0.00326709,2_0_0:0.00370819):0.00244844,1_0_0:0.00577495):0.04732140,15_0_0:0.04132843):0.66983902,((((14_0_0:0.03275627,6_0_0:0.19761184):0.03141474,16_0_0:0.34215276):0.24001069,((7_0_0:0.00504268,(9_0_0:0.00004283,13_0_0:0.00004705):0.00392802):0.15223184,19_0_0:0.08849069):0.43392941):0.19504068,(((11_0_0:0.01437539,17_0_0:0.00859652):0.07532413,(5_0_0:0.03174513,(10_0_0:0.00293760,(12_0_0:0.00083294,4_0_0:0.00289903):0.00165358):0.01355208):0.05422006):0.29321260,((8_0_0:0.00872763,18_0_0:0.00853504):0.01052359,20_0_0:0.01757697):0.15783194):0.09782490):0.03436110);

dataset_002	T002	20	1	1	1.68787	0.628065	0.749647	(((((6_0_0:0.02608370,14_0_0:0.08079624):0.00932873,15_0_0:0.03304874):0.04577879,16_0_0:0.16370614):0.05966422,((((7_0_0:0.00537265,(9_0_0:0.00003756,13_0_0:0.00001592):0.00544896):0.22076101,(19_0_0:0.10669702,(8_0_0:0.00249659,18_0_0:0.00463403):0.02254095):0.02887430):0.19281854,((3_0_0:0.00436035,2_0_0:0.00317671):0.00177495,1_0_0:0.00375540):0.21277993):0.04344333,((17_0_0:0.00344320,11_0_0:0.02093898):0.01583472,(5_0_0:0.00440818,((12_0_0:0.00089368,4_0_0:0.00058111):0.00033633,10_0_0:0.00174355):0.00359563):0.04806873):0.02349743):0.03431458):0.13124131,20_0_0:0.12158201);

dataset_003	T003	20	1	1	3.0154	0.955542	1.51069	((20_0_0:0.16495439,((((17_0_0:0.00405187,11_0_0:0.03437279):0.09382301,(5_0_0:0.01097911,((4_0_0:0.00313286,12_0_0:0.00107323):0.00291960,10_0_0:0.00686824):0.00424488):0.07334120):0.15876835,(((9_0_0:0.00006576,13_0_0:0.00014394):0.01685295,7_0_0:0.00847700):0.20865840,(18_0_0:0.00451459,8_0_0:0.00584432):0.16978753):0.18548719):0.03674338,((15_0_0:0.03177206,(14_0_0:0.05064429,6_0_0:0.10959964):0.06570643):0.07846153,(19_0_0:0.01732587,16_0_0:0.07110944):0.13265828):0.61821119):0.08149355):0.00207005,((3_0_0:0.00857567,2_0_0:0.00576839):0.00271855,1_0_0:0.00032606):0.54385297);

dataset_004	T004	20	1	1	2.9927	0.744766	1.46173	((16_0_0:0.45322674,((6_0_0:0.07747412,14_0_0:0.09005155):0.03303105,15_0_0:0.15134819):0.06980950):0.29153943,((20_0_0:0.13655398,((5_0_0:0.01913332,(10_0_0:0.00338555,(12_0_0:0.00178426,4_0_0:0.00206953):0.00337098):0.00347207):0.05738549,(17_0_0:0.01101379,11_0_0:0.01154828):0.05836775):0.05951456):0.24222066,((1_0_0:0.00302993,(3_0_0:0.00296149,2_0_0:0.00612100):0.00270171):0.23505153,(((13_0_0:0.00004469,9_0_0:0.00008677):0.01565271,7_0_0:0.00635432):0.20071481,((8_0_0:0.01173390,18_0_0:0.00482007):0.10830093,19_0_0:0.08794763):0.03037190):0.28459215):0.14600946):0.06990539);

dataset_005	T005	20	1	1	1.86092	0.602201	0.823914	(((((8_0_0:0.00462447,18_0_0:0.00397619):0.09575347,19_0_0:0.03992182):0.01813612,(7_0_0:0.00733345,(13_0_0:0.00004646,9_0_0:0.00005069):0.01399029):0.21299185):0.21379625,((15_0_0:0.08614209,16_0_0:0.18467619):0.19560706,(14_0_0:0.07184863,(((1_0_0:0.00186443,(2_0_0:0.00279837,3_0_0:0.00382751):0.00362781):0.03314328,(((4_0_0:0.00293805,12_0_0:0.00160523):0.00380589,10_0_0:0.00247813):0.00679525,5_0_0:0.01874072):0.01755603):0.00825659,(6_0_0:0.01569393,(17_0_0:0.01456919,11_0_0:0.00735567):0.00072794):0.02835538):0.00853732):0.24103507):0.00280147):0.16137168,20_0_0:0.12414372);

dataset_006	T006	20	1	1	1.69703	0.421918	0.699282	((((((7_0_0:0.00507042,(13_0_0:0.00004878,9_0_0:0.00002206):0.00769963):0.07463440,(19_0_0:0.04072470,(18_0_0:0.00367995,8_0_0:0.00562530):0.02129210):0.01824527):0.14782993,(((10_0_0:0.00140363,(4_0_0:0.00106744,12_0_0:0.00053869):0.00166259):0.00292006,5_0_0:0.01132655):0.05379967,(11_0_0:0.01600573,17_0_0:0.00723942):0.06358080):0.21506747):0.02254749,((14_0_0:0.07522893,15_0_0:0.09847993):0.02996103,16_0_0:0.12391954):0.25363936):0.03386218,(6_0_0:0.02572344,(1_0_0:0.00143288,(2_0_0:0.00368085,3_0_0:0.00059855):0.00145160):0.01473323):0.19593778):0.00597570,20_0_0:0.11037515);

dataset_007	T007	20	1	1	2.80641	0.796494	1.50074	((((16_0_0:0.08410540,(15_0_0:0.05167963,(6_0_0:0.03898233,14_0_0:0.06653752):0.01277084):0.01577190):0.08977270,((((10_0_0:0.00061001,(12_0_0:0.00071369,4_0_0:0.00092316):0.00393347):0.00455550,5_0_0:0.02630608):0.08966938,(17_0_0:0.00701988,11_0_0:0.00850410):0.03309075):0.22429742,((7_0_0:0.00504822,(13_0_0:0.00007127,9_0_0:0.00003390):0.01112435):0.02885162,(18_0_0:0.00488980,8_0_0:0.01297015):0.11723863):0.39665525):0.01871410):0.13419740,20_0_0:0.48087454):0.02446777,((1_0_0:0.00122012,(2_0_0:0.00265755,3_0_0:0.00038316):0.00114612):0.01012781,19_0_0:0.02219172):0.77430239);

